#marker	uniprot_id	protein	gene	organism	length	go_terms	go_slim_terms
p0228	A0LL92	ABC transporter related	Sfum_2516	Syntrophobacter fumaroxidans (strain DSM 10017 / MPOB)	532	GO:0000166,GO:0005524,GO:0016887	GO:0003674,GO:0016887,GO:0043167
p0229	E6SH25	Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGSase); Glutamate N-acetyltransferase (EC 2.3.1.35) (Ornithine transacetylase) (Ornithine acetyltransferase) (OATase)]	argJ	Thermaerobacter marianensis (strain ATCC 700841 / DSM 12885 / JCM 10246 / 7p75a)	438	GO:0003824,GO:0004042,GO:0004358,GO:0005737,GO:0006526,GO:0008152,GO:0008652,GO:0016740,GO:0016746	GO:0003674,GO:0005737,GO:0006520,GO:0008150,GO:0009058,GO:0016746
p0230	B0NFQ3	Acetyl-CoA carboxylase, carboxyl transferase, beta subunit (EC 6.4.1.2)	accD	[Clostridium] scindens ATCC 35704	586	GO:0000166,GO:0003989,GO:0005524,GO:0005737,GO:0006629,GO:0006631,GO:0006633,GO:0008270,GO:0009317,GO:0016740,GO:0016874,GO:0046872	GO:0003674,GO:0005737,GO:0006629,GO:0009058,GO:0016874,GO:0032991,GO:0043167
p0231	A9B073	Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase)	Haur_2544	Herpetosiphon aurantiacus (strain ATCC 23779 / DSM 785)	1180	GO:0008168,GO:0008270,GO:0008652,GO:0008705,GO:0009086,GO:0016740,GO:0042558,GO:0044237,GO:0046872	GO:0003674,GO:0006520,GO:0006790,GO:0008150,GO:0008168,GO:0009058,GO:0043167
p0232	B4CX52	Penicillin-binding protein 2 (EC 2.4.1.129)	CfE428DRAFT_1143	Chthoniobacter flavus Ellin428	780	GO:0006508,GO:0008658,GO:0008955,GO:0009002,GO:0009252,GO:0016020,GO:0016740,GO:0016757	GO:0003674,GO:0005575,GO:0008150,GO:0008233,GO:0009058,GO:0016757,GO:0043167,GO:0071554
p0233	G4Q7L7	Aspartokinase (EC 2.7.2.4)	lysC	Acidaminococcus intestini (strain RyC-MR95)	410	GO:0004072,GO:0008652,GO:0009088,GO:0009089,GO:0016301,GO:0016310,GO:0016740	GO:0003674,GO:0006520,GO:0008150,GO:0009058,GO:0016301
p0234	Q2SZE9	Vitamin B12-dependent ribonucleotide reductase (EC 1.17.4.1)	BTH_I1153	Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264)	995	GO:0000166,GO:0004748,GO:0005524,GO:0006260,GO:0016491,GO:0055114,GO:0071897	GO:0003674,GO:0006259,GO:0008150,GO:0009058,GO:0016491,GO:0043167
p0235	O67119	Long-chain-fatty-acid CoA ligase	fadD	Aquifex aeolicus (strain VF5)	823	GO:0003824,GO:0008152,GO:0016746,GO:0016874	GO:0003674,GO:0008150,GO:0016746,GO:0016874
p0236	B8FEK7	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)	gpmI	Desulfatibacillum alkenivorans (strain AK-01)	556	GO:0003824,GO:0004619,GO:0005737,GO:0006007,GO:0006096,GO:0008152,GO:0016853,GO:0030145,GO:0046537,GO:0046872	GO:0003674,GO:0005737,GO:0005975,GO:0006091,GO:0008150,GO:0009056,GO:0009058,GO:0016301,GO:0016491,GO:0016829,GO:0016853,GO:0034655,GO:0043167,GO:0051186
p0237	X7YYJ9	ATP-dependent DNA helicase, RecQ family protein (EC 3.6.4.12)	I545_5322	Mycobacterium kansasii 662	1746	GO:0003676,GO:0004386,GO:0005524,GO:0006139,GO:0006310,GO:0008026,GO:0016787,GO:0016818	GO:0003674,GO:0004386,GO:0006259,GO:0016887,GO:0034641,GO:0043167
p0238	D3I9D7	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	tpiA	Prevotella sp. oral taxon 299 str. F0039	682	GO:0003824,GO:0004807,GO:0005737,GO:0006094,GO:0006096,GO:0006098,GO:0008152,GO:0016020,GO:0016021,GO:0016853	GO:0003674,GO:0005575,GO:0005737,GO:0005975,GO:0006091,GO:0008150,GO:0009058,GO:0016301,GO:0016491,GO:0016829,GO:0016853,GO:0034641,GO:0034655,GO:0051186
p0239	O83945	Probable tRNA-dihydrouridine synthase (EC 1.3.1.-)	dus	Treponema pallidum (strain Nichols)	340	GO:0000049,GO:0003723,GO:0003824,GO:0008033,GO:0016491,GO:0017150,GO:0050660,GO:0055114	GO:0003674,GO:0003723,GO:0006399,GO:0008150,GO:0016491,GO:0043167
p0240	A0A1L9KUV8	Formate dehydrogenase H (EC 1.1.99.33)	fdhF_1	Vibrio fluvialis	1399	GO:0008863,GO:0009055,GO:0015942,GO:0016491,GO:0022900,GO:0046872,GO:0055114	GO:0006091,GO:0008150,GO:0016491,GO:0043167
p0241	E8R3Q8	Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK)	proB	Isosphaera pallida (strain ATCC 43644 / DSM 9630 / IS1B)	412	GO:0000166,GO:0003723,GO:0004349,GO:0005524,GO:0005737,GO:0006561,GO:0008652,GO:0016301,GO:0016310,GO:0016740	GO:0003674,GO:0003723,GO:0005737,GO:0006520,GO:0008150,GO:0009058,GO:0016301,GO:0043167
p0242	D3R335	Ribonuclease J (RNase J) (EC 3.1.-.-)	rnj	Mageeibacillus indolicus (strain UPII9-5) (Clostridiales genomosp. BVAB3 (strain UPII9-5))	817	GO:0003723,GO:0004518,GO:0004519,GO:0004521,GO:0004527,GO:0005737,GO:0006364,GO:0006396,GO:0008270,GO:0016787,GO:0046872	GO:0003674,GO:0003723,GO:0004518,GO:0005737,GO:0034641,GO:0042254,GO:0043167
p0243	D5E5H2	Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)	hisRS	Mycoplasma crocodyli (strain ATCC 51981 / MP145)	478	GO:0000166,GO:0004812,GO:0004821,GO:0005524,GO:0005737,GO:0006412,GO:0006427,GO:0016874	GO:0003674,GO:0005737,GO:0006399,GO:0006520,GO:0016874,GO:0043167
p0244	C3KKH2	Glutamate dehydrogenase (EC 1.4.1.3)	gdh	Sinorhizobium fredii (strain NBRC 101917 / NGR234)	549	GO:0000160,GO:0004353,GO:0005622,GO:0006520,GO:0016491,GO:0016639,GO:0055114	GO:0005622,GO:0006520,GO:0007165,GO:0008150,GO:0016491
p0245	B4WGT1	KR domain family	S7335_1374	Synechococcus sp. (strain ATCC 29403 / PCC 7335)	2666	GO:0003824,GO:0008152,GO:0009058,GO:0016491,GO:0016740,GO:0030170,GO:0055114	GO:0003674,GO:0008150,GO:0009058,GO:0016491,GO:0043167
p0246	G2SI31	3-methyl-2-oxobutanoate dehydrogenase, Pyruvate dehydrogenase (EC 1.2.4.1) (EC 1.2.4.4)	Rhom172_1875	Rhodothermus marinus SG0.5JP17-172	710	GO:0003824,GO:0003863,GO:0004739,GO:0008152,GO:0016491,GO:0016624,GO:0055114	GO:0003674,GO:0008150,GO:0016491
p0247	A0A174M9C9	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	glgB_1	Anaerostipes hadrus	744	GO:0003824,GO:0003844,GO:0004553,GO:0005975,GO:0005977,GO:0005978,GO:0016740,GO:0016757,GO:0043169	GO:0003674,GO:0005975,GO:0006091,GO:0009058,GO:0016757,GO:0016798,GO:0043167
p0248	F0SNT9	Homoserine dehydrogenase (EC 1.1.1.3)	Plabr_1363	Rubinisphaera brasiliensis (strain ATCC 49424 / DSM 5305 / JCM 21570 / NBRC 103401 / IFAM 1448) (Planctomyces brasiliensis)	438	GO:0004412,GO:0006520,GO:0008652,GO:0009082,GO:0009086,GO:0009088,GO:0009097,GO:0016491,GO:0055114	GO:0006520,GO:0006790,GO:0008150,GO:0009058,GO:0016491
p0249	F9PGL9	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)	pepA	Actinomyces sp. oral taxon 175 str. F0384	671	GO:0004177,GO:0005622,GO:0005737,GO:0006508,GO:0008233,GO:0008235,GO:0016787,GO:0019538,GO:0030145,GO:0046872	GO:0003674,GO:0005622,GO:0005737,GO:0008150,GO:0008233,GO:0043167
p0250	C0W2M7	Aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein)	gcvT	Actinomyces urogenitalis DSM 15434	422	GO:0004047,GO:0006546,GO:0008168,GO:0008483,GO:0016740,GO:0019464	GO:0003674,GO:0006520,GO:0008168,GO:0009056
p0251	D5WSI4	PAS modulated sigma54 specific transcriptional regulator, Fis family	Btus_0295	Kyrpidia tusciae (strain DSM 2912 / NBRC 15312 / T2) (Bacillus tusciae)	710	GO:0000166,GO:0003677,GO:0005524,GO:0006351,GO:0006355,GO:0008134,GO:0043565	GO:0003674,GO:0003677,GO:0008134,GO:0009058,GO:0034641,GO:0043167
p0252	Q1CZI7	Chaperone protein HtpG (Heat shock protein HtpG) (High temperature protein G)	htpG	Myxococcus xanthus (strain DK 1622)	654	GO:0000166,GO:0005524,GO:0005737,GO:0006457,GO:0006950,GO:0051082	GO:0003674,GO:0005737,GO:0006457,GO:0006950,GO:0043167,GO:0051082
p0253	A8LKN7	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD	Dinoroseobacter shibae (strain DSM 16493 / NCIMB 14021 / DFL 12)	320	GO:0000166,GO:0003989,GO:0005524,GO:0005737,GO:0006629,GO:0006631,GO:0006633,GO:0009317,GO:0016874,GO:0046872	GO:0003674,GO:0005737,GO:0006629,GO:0009058,GO:0016874,GO:0032991,GO:0043167
p0254	Q8KEF5	Ribonuclease Y (RNase Y) (EC 3.1.-.-)	rny	Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS) (Chlorobium tepidum)	524	GO:0003676,GO:0003723,GO:0004518,GO:0004519,GO:0005886,GO:0006402,GO:0016020,GO:0016021,GO:0016787	GO:0003674,GO:0003723,GO:0004518,GO:0005575,GO:0005886,GO:0034655
p0255	P0AEP5	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (Alpha-D-glucosyl-1-phosphate uridylyltransferase) (UDP-glucose pyrophosphorylase) (UDPGP) (Uridine diphosphoglucose pyrophosphorylase)	galU	Escherichia coli O157:H7	302	GO:0003983,GO:0006011,GO:0009058,GO:0016740,GO:0016779	GO:0003674,GO:0009058,GO:0016779,GO:0034641
p0256	D8P7P5	Formate--tetrahydrofolate ligase (EC 6.3.4.3) (Formyltetrahydrofolate synthetase) (FHS) (FTHFS)	fhs	Nitrospira defluvii	560	GO:0000166,GO:0004329,GO:0005524,GO:0006730,GO:0016874	GO:0003674,GO:0008150,GO:0016874,GO:0043167
p0257	A0A0K2GA55	General secretion pathway protein E, contains GAF domain	gspE	Nitrospira moscoviensis	772	GO:0000166,GO:0005524	GO:0003674,GO:0043167
p0258	E1WYY2	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	tyrS	Halobacteriovorax marinus (strain ATCC BAA-682 / DSM 15412 / SJ) (Bacteriovorax marinus)	423	GO:0000166,GO:0003723,GO:0004812,GO:0004831,GO:0005524,GO:0005737,GO:0006412,GO:0006418,GO:0006437,GO:0016874	GO:0003674,GO:0003723,GO:0005737,GO:0006399,GO:0006520,GO:0016874,GO:0043167
p0259	A6C0Z3	N-acetyl-L-amino acid amidohydrolase	PM8797T_05425	Gimesia maris DSM 8797	425	GO:0008152,GO:0016787	GO:0003674,GO:0008150
p0260	Q5QXT6	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]	ribD	Idiomarina loihiensis (strain ATCC BAA-735 / DSM 15497 / L2-TR)	375	GO:0003824,GO:0008270,GO:0008703,GO:0008835,GO:0009231,GO:0016491,GO:0016787,GO:0046872,GO:0055114	GO:0003674,GO:0008150,GO:0009058,GO:0016491,GO:0016810,GO:0034641,GO:0043167
p0261	Q1Q1Q4	Uncharacterized protein	kuste3185	Kuenenia stuttgartiensis	943	GO:0016020,GO:0016021	GO:0005575
p0262	Q092X4	NADH dehydrogenase I, M subunit (NADH-quinone oxidoreductase chain m) (EC 1.6.99.5)	STAUR_5897	Stigmatella aurantiaca (strain DW4/3-1)	555	GO:0008137,GO:0016020,GO:0016021,GO:0016491,GO:0042773,GO:0050136,GO:0055114	GO:0005575,GO:0006091,GO:0006810,GO:0008150,GO:0009058,GO:0016491,GO:0034641
p0263	D3CZC4	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)	lysA	Frankia sp. EUN1f	439	GO:0003824,GO:0008652,GO:0008836,GO:0009085,GO:0009089,GO:0016829,GO:0016831,GO:0030170	GO:0003674,GO:0006520,GO:0009058,GO:0016829,GO:0043167
p0264	A5GVR3	Bifunctional pantoate ligase/cytidylate kinase [Includes: Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme); Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase)]	panC/cmk	Synechococcus sp. (strain RCC307)	512	GO:0000166,GO:0003824,GO:0004127,GO:0004592,GO:0005524,GO:0005737,GO:0006139,GO:0008152,GO:0009058,GO:0015940,GO:0016301,GO:0016310,GO:0016740,GO:0016874,GO:0046939	GO:0003674,GO:0005737,GO:0008150,GO:0009058,GO:0016301,GO:0016874,GO:0034641,GO:0043167,GO:0051186
p0265	G4D3U6	Butyryl-CoA dehydrogenase (EC 1.3.8.1)	bcd3	Peptoniphilus indolicus ATCC 29427	644	GO:0003995,GO:0004085,GO:0005506,GO:0016491,GO:0016627,GO:0046872,GO:0050660,GO:0055114	GO:0008150,GO:0016491,GO:0043167
p0266	B1VFJ6	Peptide chain release factor 3 (RF-3)	prfC	Corynebacterium urealyticum (strain ATCC 43042 / DSM 7109)	548	GO:0000166,GO:0003924,GO:0005525,GO:0005737,GO:0006412,GO:0006415,GO:0006449,GO:0016149	GO:0003674,GO:0003924,GO:0005737,GO:0008135,GO:0043167
p0267	Q1MZR2	Acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	RED65_04790	Bermanella marisrubri	549	GO:0004742,GO:0006090,GO:0006096,GO:0008152,GO:0016740,GO:0016746,GO:0045254	GO:0003674,GO:0005737,GO:0005975,GO:0006091,GO:0008150,GO:0009058,GO:0016301,GO:0016491,GO:0016746,GO:0016829,GO:0016853,GO:0032991,GO:0034655,GO:0051186
p0268	E6SJH8	Aspartate carbamoyltransferase (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)	pyrB	Thermaerobacter marianensis (strain ATCC 700841 / DSM 12885 / JCM 10246 / 7p75a)	455	GO:0004070,GO:0006207,GO:0006221,GO:0006520,GO:0016597,GO:0016740,GO:0016743	GO:0003674,GO:0006520,GO:0009058,GO:0034641,GO:0043167
p0269	A0RMF0	Citrate synthase	gltA	Campylobacter fetus subsp. fetus (strain 82-40)	425	GO:0004108,GO:0005737,GO:0006099,GO:0016740,GO:0016746,GO:0046912	GO:0003674,GO:0005737,GO:0006091,GO:0016746
p0270	D4DP73	ABC transporter, ATP-binding protein	NEIELOOT_00858	Neisseria elongata subsp. glycolytica ATCC 29315	531	GO:0000166,GO:0005524,GO:0016887,GO:0043190	GO:0003674,GO:0005886,GO:0016887,GO:0032991,GO:0043167
p0271	A1BG26	Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK)	argB	Chlorobium phaeobacteroides (strain DSM 266)	303	GO:0000166,GO:0003991,GO:0005524,GO:0005737,GO:0006526,GO:0008652,GO:0016301,GO:0016310,GO:0016740	GO:0003674,GO:0005737,GO:0006520,GO:0008150,GO:0009058,GO:0016301,GO:0043167
p0272	A6G9D3	ABC transporter-related protein	PPSIR1_09635	Plesiocystis pacifica SIR-1	668	GO:0000166,GO:0003677,GO:0004832,GO:0005524,GO:0005737,GO:0006438,GO:0016887	GO:0003674,GO:0003677,GO:0005737,GO:0006399,GO:0006520,GO:0016874,GO:0016887,GO:0043167
p0273	C9RKY0	NADH-quinone oxidoreductase subunit H (EC 1.6.5.11) (NADH dehydrogenase I subunit H) (NDH-1 subunit H)	nuoH_2	Fibrobacter succinogenes (strain ATCC 19169 / S85)	373	GO:0005886,GO:0016020,GO:0016021,GO:0016491,GO:0016655,GO:0048038,GO:0055114	GO:0003674,GO:0005575,GO:0005886,GO:0008150,GO:0016491
p0274	A4YZZ9	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	zwf	Bradyrhizobium sp. (strain ORS 278)	507	GO:0004345,GO:0005975,GO:0006006,GO:0006098,GO:0016491,GO:0055114	GO:0005975,GO:0008150,GO:0016491,GO:0016853,GO:0034641,GO:0051186
p0275	E5WSG0	Cobyric acid synthase	cobQ	Bacillus sp. 2_A_57_CT2	507	GO:0003824,GO:0006541,GO:0009236,GO:0015420,GO:0015889	GO:0003674,GO:0006520,GO:0006810,GO:0009058,GO:0016887,GO:0022857,GO:0034641,GO:0051186
p0276	B3QWP5	CheA signal transduction histidine kinase	Ctha_2355	Chloroherpeton thalassium (strain ATCC 35110 / GB-78)	2433	GO:0000155,GO:0000160,GO:0004673,GO:0004871,GO:0005737,GO:0006935,GO:0007165,GO:0016301,GO:0016310,GO:0016772,GO:0018106	GO:0003674,GO:0004871,GO:0005622,GO:0005737,GO:0006464,GO:0007165,GO:0008150,GO:0016301,GO:0040011
p0277	D4YLM8	Amino acid carrier protein	agcS	Brevibacterium mcbrellneri ATCC 49030	578	GO:0005886,GO:0006814,GO:0015293,GO:0015655,GO:0016020,GO:0016021	GO:0005575,GO:0005886,GO:0006810,GO:0022857
p0278	M1FDH5	Aconitate hydratase (Aconitase) (EC 4.2.1.3)	acnA	Marinobacter sp. BSs20148	870	GO:0003994,GO:0008152,GO:0016829,GO:0019679	GO:0006629,GO:0008150,GO:0016829
p0279	D8IWI3	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	glgA	Herbaspirillum seropedicae (strain SmR1)	529	GO:0004373,GO:0005978,GO:0009011,GO:0016740,GO:0016757	GO:0003674,GO:0005975,GO:0006091,GO:0009058,GO:0016757
p0280	C7MPE5	Trypsin-like serine protease with C-terminal PDZ domain protein	Ccur_10940	Cryptobacterium curtum (strain ATCC 700683 / DSM 15641 / 12-3)	539	GO:0004252,GO:0006508,GO:0008233,GO:0016020,GO:0016021	GO:0005575,GO:0008150,GO:0008233
p0281	A0A212PKD3	Maltose alpha-D-glucosyltransferase/ alpha-amylase	SAMN06269301_2833	Geobacter sp. DSM 9736	1112	GO:0003824,GO:0005975,GO:0016740	GO:0003674,GO:0005975
p0282	D8UNE7	Phosphate acetyltransferase (EC 2.3.1.8) (Phosphotransacetylase)	pta	Rothia dentocariosa M567	697	GO:0005737,GO:0006085,GO:0008152,GO:0008959,GO:0016407,GO:0016740,GO:0016746	GO:0003674,GO:0005737,GO:0006790,GO:0008150,GO:0009058,GO:0016746,GO:0051186
p0283	E0NN62	tRNA nucleotidyltransferase (EC 2.7.7.56)	rph	Peptoniphilus duerdenii ATCC BAA-1640	435	GO:0000049,GO:0000166,GO:0003723,GO:0006364,GO:0008033,GO:0009022,GO:0009117,GO:0009143,GO:0009146,GO:0016740,GO:0016779,GO:0016787,GO:0017111,GO:0046872,GO:0047429	GO:0003674,GO:0003723,GO:0006399,GO:0009058,GO:0016779,GO:0034641,GO:0034655,GO:0042254,GO:0043167
p0284	A0A1A7UYM0	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADPGlc PPase) (ADP-glucose synthase)	glgC_3	Vibrio mediterranei	437	GO:0000166,GO:0005524,GO:0005975,GO:0005977,GO:0005978,GO:0008878,GO:0009058,GO:0016740,GO:0016779	GO:0003674,GO:0005975,GO:0006091,GO:0009058,GO:0016779,GO:0043167
p0285	G2PAR9	ABC-1 domain-containing protein	Strvi_8792	Streptomyces violaceusniger Tu 4113	701	GO:0004672,GO:0005524,GO:0006468,GO:0016020,GO:0016021	GO:0005575,GO:0006464,GO:0016301,GO:0043167
p0286	U2C0X2	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)	upp	Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456	213	GO:0000166,GO:0000287,GO:0003824,GO:0004845,GO:0005525,GO:0006223,GO:0008152,GO:0008655,GO:0009116,GO:0016740,GO:0016757	GO:0003674,GO:0008150,GO:0009058,GO:0016757,GO:0034641,GO:0043167
p0287	A0A1G4W9X0	Putative multidrug resistance ABC transporter ATP-binding/permease protein YheH (EC 3.6.3.-)	yheH	Corynebacterium jeikeium	1131	GO:0000166,GO:0005524,GO:0016020,GO:0016021,GO:0016787,GO:0016887,GO:0042626	GO:0003674,GO:0005575,GO:0016887,GO:0022857,GO:0043167
p0288	A9A298	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD	Nitrosopumilus maritimus (strain SCM1)	348	GO:0000162,GO:0004048,GO:0008152,GO:0008652,GO:0009073,GO:0016740,GO:0016757,GO:0046872	GO:0003674,GO:0006520,GO:0008150,GO:0009058,GO:0016757,GO:0034641,GO:0043167
p0289	A0A0F6UBM4	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)	pcaB_2	Pseudomonas aeruginosa	477	GO:0003824,GO:0004018,GO:0006164,GO:0006189,GO:0009152,GO:0016829,GO:0016853,GO:0070626	GO:0003674,GO:0009058,GO:0016829,GO:0016853,GO:0034641
p0290	A9WF31	D-lactate dehydrogenase (Cytochrome) (EC 1.1.2.4)	Caur_2134	Chloroflexus aurantiacus (strain ATCC 29366 / DSM 635 / J-10-fl)	887	GO:0003824,GO:0004458,GO:0016491,GO:0016614,GO:0050660,GO:0055114	GO:0003674,GO:0008150,GO:0016491,GO:0043167
p0291	Q30ZL9	Pyruvate, water dikinase., Phosphoenolpyruvate--protein phosphotransferase (EC 2.7.3.9) (EC 2.7.9.2)	Dde_2080	Desulfovibrio alaskensis (strain G20) (Desulfovibrio desulfuricans (strain G20))	1194	GO:0003824,GO:0005524,GO:0006090,GO:0008965,GO:0008986,GO:0016301,GO:0016310,GO:0016740,GO:0016772	GO:0003674,GO:0008150,GO:0016301,GO:0043167
p0292	A9B7E5	Shikimate kinase., 3-dehydroquinate synthase (EC 2.7.1.71) (EC 4.2.3.4)	aroB	Herpetosiphon aurantiacus (strain ATCC 23779 / DSM 785)	539	GO:0000166,GO:0000287,GO:0003856,GO:0004765,GO:0005524,GO:0005737,GO:0008652,GO:0009073,GO:0009423,GO:0016301,GO:0016310,GO:0016740,GO:0016829,GO:0046872	GO:0003674,GO:0005737,GO:0006520,GO:0008150,GO:0009058,GO:0016301,GO:0016829,GO:0043167
p0293	Q8TLS0	Proton/sodium-glutamate symporter	MA_2961	Methanosarcina acetivorans (strain ATCC 35395 / DSM 2834 / JCM 12185 / C2A)	485	GO:0015293,GO:0016020,GO:0016021	GO:0005575,GO:0022857
p0294	S7J3J0	Glycine--tRNA ligase, beta subunit (EC 6.1.1.14)	glyS	Chlamydia psittaci 10_1398_11	1008	GO:0000166,GO:0004820,GO:0005524,GO:0005737,GO:0006426,GO:0016874	GO:0003674,GO:0005737,GO:0006399,GO:0006520,GO:0016874,GO:0043167
p0295	C8PYV9	Adenosylmethionine-8-amino-7-oxononanoate transaminase (EC 2.6.1.62)	bioA	Enhydrobacter aerosaccus SK60	470	GO:0003824,GO:0004015,GO:0008483,GO:0009102,GO:0016740,GO:0030170	GO:0003674,GO:0006790,GO:0009058,GO:0034641,GO:0043167,GO:0051186
p0296	A0A170MTP3	CoA-disulfide reductase	A2J07_07030	Fusobacterium necrophorum subsp. funduliforme	801	GO:0005623,GO:0016491,GO:0045454,GO:0050660,GO:0055114	GO:0005623,GO:0008150,GO:0016491,GO:0042592,GO:0043167
p0297	B9L0Q4	Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)	hemD	Thermomicrobium roseum (strain ATCC 27502 / DSM 5159 / P-2)	560	GO:0004418,GO:0004852,GO:0006779,GO:0006782,GO:0016740,GO:0018160	GO:0003674,GO:0006464,GO:0009058,GO:0016765,GO:0016829,GO:0034641,GO:0051186
p0298	A0A1X6XDS5	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)	FM106_13590	Brachybacterium faecium	938	GO:0004066,GO:0006529,GO:0016874	GO:0006520,GO:0009058,GO:0016874,GO:0034641
p0299	Q2KVF5	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	murD	Bordetella avium (strain 197N)	508	GO:0000166,GO:0004326,GO:0005524,GO:0005737,GO:0007049,GO:0008360,GO:0008764,GO:0009058,GO:0009252,GO:0009396,GO:0016874,GO:0046901,GO:0051301,GO:0071555	GO:0000902,GO:0003674,GO:0005737,GO:0007049,GO:0009058,GO:0016874,GO:0034641,GO:0043167,GO:0051186,GO:0051301,GO:0071554
p0300	F5WTX5	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	adk	Erysipelothrix rhusiopathiae (strain Fujisawa)	216	GO:0000166,GO:0004017,GO:0005524,GO:0005737,GO:0006139,GO:0008270,GO:0009165,GO:0016301,GO:0016310,GO:0016740,GO:0016776,GO:0019205,GO:0046872,GO:0046939	GO:0003674,GO:0005737,GO:0008150,GO:0009058,GO:0016301,GO:0034641,GO:0043167
p0301	A0A145EHX2	Protein ClpV1	clpV1_1	Enterobacter cloacae	871	GO:0000166,GO:0005524,GO:0019538	GO:0003674,GO:0008150,GO:0043167
p0302	D6SK19	SNF2-related protein	Dthio_PD3679	Desulfonatronospira thiodismutans ASO3-1	1387	GO:0005524	GO:0043167
p0303	C3JCE6	Endonuclease MutS2 (EC 3.1.-.-)	mutS	Porphyromonas endodontalis (strain ATCC 35406 / BCRC 14492 / JCM 8526 / NCTC 13058 / HG 370)	846	GO:0000166,GO:0003677,GO:0004518,GO:0004519,GO:0005524,GO:0006298,GO:0016787,GO:0016887,GO:0045910	GO:0003674,GO:0003677,GO:0004518,GO:0006259,GO:0006950,GO:0016887,GO:0043167
p0304	F0RLJ8	Cell division protein FtsA	ftsA	Deinococcus proteolyticus (strain ATCC 35074 / DSM 20540 / JCM 6276 / NBRC 101906 / NCIMB 13154 / VKM Ac-1939 / CCM 2703 / MRP)	487	GO:0005886,GO:0007049,GO:0009898,GO:0016020,GO:0043093,GO:0051301	GO:0000003,GO:0005575,GO:0005886,GO:0007049,GO:0051301
p0305	A0M2A6	Alanine dehydrogenase (EC 1.4.1.1)	ald	Gramella forsetii (strain KT0803)	400	GO:0000286,GO:0016491,GO:0042853,GO:0055114	GO:0006520,GO:0008150,GO:0009056,GO:0016491
